City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Waipawa,NZ,60.46,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
414,Bar Harbor,US,55.24,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
415,Porto Novo,BJ,82.22,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
416,Bandipur,NP,61.74,few clouds,27.9333,84.4167,Bandipur Guest House
417,Demak,ID,80.56,overcast clouds,-6.8909,110.6396,Inayah Kost
418,Katherine,AU,88.12,overcast clouds,-14.4667,132.2667,Pine Tree Motel
419,Goderich,CA,63.21,few clouds,43.7501,-81.7165,Harmony Inn
420,Lidkoping,SE,52.54,overcast clouds,58.5052,13.1577,Hotell Läckö - GRAND HOTEL
421,Bayangol,RU,28.94,scattered clouds,50.6977,103.4656,
423,La Ronge,CA,52.05,broken clouds,55.1001,-105.2842,Northland Motor Hotel
424,Cidreira,BR,59.23,clear sky,-30.1811,-50.2056,Hotel Castelo
425,Manchester,GB,54.52,broken clouds,53.4809,-2.2374,The Gardens Hotel
426,Snasa,NO,46.9,overcast clouds,64.2457,12.3778,Snåsa Hotell AS
427,Gao,ML,91.42,broken clouds,16.6362,1.637,
428,Beira,MZ,73.49,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
429,Menomonie,US,68.02,clear sky,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
430,Beloha,MG,62.02,clear sky,-25.1667,45.05,
431,Ketchikan,US,52.27,clear sky,55.3422,-131.6461,Snow's Cove Lodge
432,Margate,GB,52.7,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
433,Mandera,KE,78.04,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
434,Naze,JP,81.52,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
435,Camabatela,AO,65.25,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
436,Wapi Pathum,TH,78.69,overcast clouds,15.8452,103.3768,Nayai Resort
437,Ancud,CL,45.93,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
438,Manokwari,ID,82.44,heavy intensity rain,-0.8667,134.0833,Swiss Belhotel Manokwari
439,Save,BJ,74.57,overcast clouds,8.0425,2.486,Restaurant Plazza Hotel
440,Terre Haute,US,71.96,clear sky,39.4667,-87.4139,Drury Inn & Suites Terre Haute
441,Kualakapuas,ID,78.96,overcast clouds,-3.0091,114.3876,Guest House Izonk
442,Sitka,US,51.69,clear sky,57.0531,-135.33,Westmark Sitka
443,Fort Nelson,CA,42.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
444,Victoria,HK,85.32,clear sky,22.2855,114.1577,Mini Hotel Central
445,Witney,GB,52.45,clear sky,51.7836,-1.4854,Oxford Witney Hotel
446,Nemuro,JP,52.23,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
447,Bengkulu,ID,75.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
448,Gamba,GA,75.16,overcast clouds,-2.65,10.0,
